                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.5432,                0.79544,                0.87495,                0.45717,                0.21453,                0.20748,                0.10841,                 2.1619,                 1.6414,                0.94312,             0.00031908,             0.00031908,             0.00031908
                     74,                 1.5474,                0.79831,                 0.8745,                 0.4572,                 0.2235,                0.21272,                0.10938,                  2.153,                 1.5961,                0.93842,             0.00030808,             0.00030808,             0.00030808
                     75,                 1.5431,                0.79277,                0.87278,                0.43506,                0.22112,                0.21017,                0.10915,                 2.1801,                 1.6382,                0.94627,             0.00029708,             0.00029708,             0.00029708
                     76,                 1.5357,                0.78917,                0.87465,                 0.4465,                0.21561,                0.20068,                0.10415,                 2.1695,                 1.6438,                0.94438,             0.00028608,             0.00028608,             0.00028608
                     77,                  1.524,                0.78354,                0.87236,                0.40488,                0.21485,                0.19092,                0.09786,                 2.1863,                 1.6633,                0.94842,             0.00027508,             0.00027508,             0.00027508
                     78,                 1.5411,                0.79048,                0.87384,                0.43246,                0.22221,                0.19918,                0.10262,                  2.181,                 1.6474,                0.94799,             0.00026408,             0.00026408,             0.00026408
                     79,                 1.5379,                0.78677,                0.87388,                0.45653,                0.21258,                0.20277,                0.10598,                 2.1794,                 1.6679,                0.94809,             0.00025309,             0.00025309,             0.00025309
                     80,                 1.5311,                 0.7832,                0.87214,                0.45013,                0.22006,                0.20708,                0.10688,                 2.1736,                  1.624,                0.94854,             0.00024209,             0.00024209,             0.00024209
                     81,                 1.5215,                0.77722,                0.87289,                0.40941,                0.22221,                0.20246,                0.10517,                 2.1735,                 1.6168,                0.94667,             0.00023109,             0.00023109,             0.00023109
                     82,                  1.522,                0.78149,                0.87106,                0.38929,                 0.2177,                0.20258,                0.10482,                 2.1692,                 1.6065,                0.94459,             0.00022009,             0.00022009,             0.00022009
                     83,                 1.5191,                 0.7807,                0.87279,                0.39667,                0.21737,                0.20066,                0.10375,                 2.1571,                 1.6115,                0.94459,             0.00020909,             0.00020909,             0.00020909
                     84,                 1.5155,                0.77192,                0.87025,                0.40594,                0.22356,                0.20491,                0.10714,                  2.158,                 1.5964,                0.94521,             0.00019809,             0.00019809,             0.00019809
                     85,                 1.5165,                0.77168,                0.87085,                0.43207,                0.21787,                0.20588,                0.10761,                 2.1694,                 1.6178,                0.94477,             0.00018709,             0.00018709,             0.00018709
                     86,                  1.507,                 0.7685,                0.86984,                0.41963,                0.22124,                0.20183,                0.10451,                 2.1769,                 1.6647,                 0.9445,             0.00017609,             0.00017609,             0.00017609
                     87,                 1.5101,                0.76889,                0.87103,                0.44466,                0.21608,                0.20745,                0.10812,                 2.1684,                  1.656,                0.94231,             0.00016509,             0.00016509,             0.00016509
                     88,                 1.5114,                0.77321,                 0.8697,                0.41485,                0.22031,                 0.2026,                0.10536,                 2.1642,                 1.6489,                0.94245,              0.0001541,              0.0001541,              0.0001541
                     89,                 1.5083,                0.77139,                0.87045,                0.42012,                0.22144,                0.20539,                0.10686,                 2.1505,                 1.6282,                0.94133,              0.0001431,              0.0001431,              0.0001431
                     90,                 1.5041,                0.76624,                0.86762,                 0.4459,                0.22056,                0.20644,                  0.108,                 2.1602,                 1.6323,                 0.9425,              0.0001321,              0.0001321,              0.0001321
